LLM,model,Data set,,,,,,,,,
,,QA,,,,,,,,summ,
,,qasper,,hotpot QA,,Quality,,narrative QA,,Govreport,
,,acc,Token consumption,acc,Token consumption,acc,Token consumption,acc,Token consumption,acc,Token consumption
llama 3 (8B),Vanilla,44.33,4700.27,44.67,6400.73,71.43,5924.81,23.38,6610.86,21.78,6269.36
,RAG,42.22,4644.43,48.86,6094.41,71.43,6583.67,22.31,6415.8,21.5,5518.23
,COA,37.37,5467.65,43.4,14044.93,57.14,7273.48,20.87,31910.97,19.6,12466.73
Qwen,Vanilla,42.57,4786.45,47.77,6450.15,71.43,5871.86,23.94,6627.65,22.42,6513.45
,RAG,42.58,4747.85,53.53,6423.15,85.71,6562.76,23.57,6447.27,21.94,5910.84
,COA,43.41,5829.98,45.83,14739.59,80.95,7357.86,21.86,31933.76,21.34,15121.2
gemma,Vanilla,44.34,4759.15,33.14,6429.45,66.67,6207.43,15.45,6608.85,21.08,6725.79
,RAG,42.68,4681.7,42.18,6291.36,71.43,6920.81,16.57,6343.93,21,6074.49
,COA,41.16,5722.07,45.05,14078.93,71.43,7516.86,10.94,32298.92,18.82,15042.72
